InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordId,ProductName,RateId,SubscriptionId,PricingPlanId,UsageType,Operation,AvailabilityZone,ReservedInstance,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,BlendedCost,UnBlendedRate,UnBlendedCost,Cost,user:CRR,user:Cost Center,user:Name,user:Owner,user:Project,ResourceId
956718813,4.58E+11,4.30E+11,LineItem,4.26E+26,Elastic Load Balancing,5855845152,6569627302,245285215,USW2-DataTransfer-In-Bytes,LoadBalancing,,N,$0.000 per GB - data transfer in per month,2022-01-01 00:00:00,2022-01-01 01:00:00,3.70E-05,0,0,0,0,10,,,,xyz@kyligence.io,xyzproject,arn:aws:elasticloadbalancing:us-west-2:429636537981:loadbalancer/net/lb-ssh/87c8df949c88552e
956718813,4.58E+11,4.30E+11,LineItem,4.26E+26,Elastic Load Balancing,5855846819,6569627302,245285215,USW2-DataTransfer-Regional-Bytes,LoadBalancing-PublicIP-In,,N,$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,2022-01-01 00:00:00,2022-01-01 01:00:00,8.94E-08,0.01,9.00E-10,0.01,9.00E-10,9.00E-10,,,,xyz@kyligence.io,xyzproject,arn:aws:elasticloadbalancing:us-west-2:429636537981:loadbalancer/net/lb-ssh/87c8df949c88552e
956718813,4.58E+11,4.30E+11,LineItem,4.26E+26,Elastic Load Balancing,5286637322,6569627720,232134359,USW2-LCUUsage,LoadBalancing:Network,,N,$0.006 per used Network load balancer capacity unit-hour (or partial hour),2022-01-01 00:00:00,2022-01-01 01:00:00,0.00000254,0.006,1.52E-08,0.006,1.52E-08,1.52E-08,,,,xyz@kyligence.io,xyzproject,arn:aws:elasticloadbalancing:us-west-2:429636537981:loadbalancer/net/lb-ssh/87c8df949c88552e
956718813,4.58E+11,4.30E+11,LineItem,4.26E+26,Elastic Load Balancing,5286637331,6569627720,232134359,USW2-LoadBalancerUsage,LoadBalancing:Application,,N,$0.0225 per Application LoadBalancer-hour (or partial hour),2022-01-01 00:00:00,2022-01-01 01:00:00,1,0.0225,0.0225,0.0225,0.0225,0.0225,CRR35688,EE,,xyz@kyligence.io,xyzproject,arn:aws:elasticloadbalancing:us-west-2:429636537981:loadbalancer/app/lb-kc-newworkspacemXqE/5aaad61fb1f5dd10
956718813,4.58E+11,4.30E+11,LineItem,4.26E+26,Elastic Load Balancing,5286637332,6569627720,232134359,USW2-LoadBalancerUsage,LoadBalancing:Network,,N,$0.0225 per Network LoadBalancer-hour (or partial hour),2022-01-01 00:00:00,2022-01-01 01:00:00,1,0.0225,0.0225,0.0225,0.0225,0.0225,,,,xyz@kyligence.io,xyzproject,arn:aws:elasticloadbalancing:us-west-2:429636537981:loadbalancer/net/lb-ssh/87c8df949c88552e
956718813,4.58E+11,4.30E+11,LineItem,4.27E+26,Amazon Simple Storage Service,5882734210,6569627287,246999529,USW2-TimedStorage-ByteHrs,StandardStorage,,N,$0.023 per GB - first 50 TB / month of storage used,2022-01-01 00:00:00,2022-01-01 01:00:00,0.002419689,0.022659343,5.48E-05,0.023,5.57E-05,5.57E-05,,,,xyz@kyligence.io,xyzproject,aws-logs-429636537981-us-west-2
956718813,4.58E+11,4.30E+11,LineItem,4.27E+26,Amazon Simple Storage Service,5882734210,6569627287,246999529,USW2-TimedStorage-ByteHrs,StandardStorage,,N,$0.023 per GB - first 50 TB / month of storage used,2022-01-01 00:00:00,2022-01-01 01:00:00,17.91388006,0.022659343,0.405916744,0.023,0.412019241,0.412019241,,,,xyz@kyligence.io,xyzproject,mhb-raven-dev-kc-working-dir
956718813,4.58E+11,4.30E+11,LineItem,4.27E+26,Amazon Simple Storage Service,5882734210,6569627287,246999529,USW2-TimedStorage-ByteHrs,StandardStorage,,N,$0.023 per GB - first 50 TB / month of storage used,2022-01-01 00:00:00,2022-01-01 01:00:00,1.51E-05,0.022659343,3.42E-07,0.023,3.47E-07,3.47E-07,,,,xyz@kyligence.io,xyzproject,mhbravendev
956718813,4.58E+11,4.30E+11,LineItem,4.27E+26,Amazon Simple Storage Service,5882734210,6569627287,246999529,USW2-TimedStorage-ByteHrs,StandardStorage,,N,$0.023 per GB - first 50 TB / month of storage used,2022-01-01 00:00:00,2022-01-01 01:00:00,0.137874542,0.022659343,0.003124147,0.023,0.003171115,0.003171115,,,,xyz@kyligence.io,xyzproject,mhb-dev-bucket
956718813,4.58E+11,4.30E+11,LineItem,4.27E+26,Amazon Simple Storage Service,5882734210,6569627287,246999529,USW2-TimedStorage-ByteHrs,StandardStorage,,N,$0.023 per GB - first 50 TB / month of storage used,2022-01-01 00:00:00,2022-01-01 01:00:00,2.103675426,0.022659343,0.047667902,0.023,0.048384535,0.048384535,,,,xyz@kyligence.io,xyzproject,mhb-raven-dev-data-source
